Sigla,Nome do evento em inglês,Nome do evento,Estrato
GEOPROCESSING-IARIA,"IARIA International Conference on Advanced Geographic Information Systems, Applications, and Services","Conferência Internacional IARIA sobre Sistemas Avançados de Informação Geográfica, Aplicações e Serviços",B3
GIIS,Global Information Infrastructure and Networking Symposium,Simpósio Global de Infraestrutura de Informação e Redes,B3
GLOBECOM,IEEE Global Communications Conference,Conferência Global de Comunicações IEEE,A1
GPCE,ACM International Conference on Generative Programming: Concepts and Experiences,Conferência Internacional ACM sobre Programação Generativa: Conceitos e Experiências,B1
GRAPP,International Conference on Computer Graphics Theory and Applications,Conferência Internacional sobre Teoria e Aplicações de Computação Gráfica,B1
GROUP,International Conference on Supporting Group Work,Conferência Internacional sobre Apoio ao Trabalho em Grupo,A4
HAIS,International Conference on Hybrid Artificial Intelligence Systems,Conferência Internacional sobre Sistemas Híbridos de Inteligência Artificial,B2
HCSE,International Conference on Human-Centered Software Engineering,Conferência Internacional sobre Engenharia de Software Centrada no Ser Humano,B4
HEALTHCOM,"IEEE International Conference on E-health Networking, Application & Services","Conferência Internacional IEEE sobre Redes, Aplicações e Serviços de Saúde Eletrônica",A3
HEALTHINF,International Conference on Health Informatics,Conferência Internacional sobre Informática em Saúde,A3
HICSS,Hawaii International Conference on System Sciences,Conferência Internacional de Ciências de Sistemas do Havaí,A1
HIMS,International Conference on Health Informatics and Medical Systems,Conferência Internacional sobre Informática em Saúde e Sistemas Médicos,B4
HIPC,"IEEE International Conference on High Performance Computing, Data and Analytics","Conferência Internacional IEEE sobre Computação de Alto Desempenho, Dados e Análise",A4
HIS,International Conference on Hybrid Intelligent Systems,Conferência Internacional sobre Sistemas Inteligentes Híbridos,A4
HPCS,International Conference on High Performance Computing & Simulation,Conferência Internacional sobre Computação de Alto Desempenho e Simulação,B1
HS,Haskell Symposium,Simpósio Haskell,B3
HT,ACM Conference on Hypertext and Social Media,Conferência ACM sobre Hipertexto e Mídia Social,A3
HUMANOIDS,IEEE RAS International Conference on Humanoid Robot,Conferência Internacional IEEE RAS sobre Robôs Humanoides,A3
I2MTC,IEEE International Instrumentation and Measurement Technology Conference,Conferência Internacional IEEE de Tecnologia de Instrumentação e Medição,A3
I3E,"IFIP International Conference on e-Business, e-Services, and e-Society","Conferência Internacional IFIP sobre e-Business, e-Serviços e e-Sociedade",A2
IAS,Industry Applications Society Annual Meeting,Reunião Anual da Sociedade de Aplicações Industriais,B1
IBERAMIA,Ibero-American Conference on Artificial Intelligence,Conferência Ibero-Americana sobre Inteligência Artificial,B4
IBERCHIP,Workshop Iberchip,Iberchip Workshop,B4
IBERSPEECH,Iberspeech Conference,Conferência Iberspeech,B4
IBPRIA,Iberian Conference on Pattern Recognition and Image Analysis,Conferência Ibérica sobre Reconhecimento de Padrões e Análise de Imagem,B1
IC2E,IEEE International Conference on Cloud Engineering,Conferência Internacional IEEE sobre Engenharia de Nuvem,A4
IC3K,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management","Conferência Internacional Conjunta sobre Descoberta de Conhecimento, Engenharia de Conhecimento e Gestão de Conhecimento",B2
ICAART,International Conference on Agents and Artificial Intelligence,Conferência Internacional sobre Agentes e Inteligência Artificial,A3
ICAI,International Conference on Applied Informatics,Conferência Internacional sobre Informática Aplicada,B1
ICAISC,International Conference on Artificial Intelligence and Soft Computing,Conferência Internacional sobre Inteligência Artificial e Computação Suave,A4
ICAIWC,International Conference on Artificial Intelligence,Conferência Internacional sobre Inteligência Artificial,A4
ICALP,"International Colloquium on Automata, Languages, and Programming","Colóquio Internacional sobre Autômatos, Linguagens e Programação",A2
ICALT,IEEE International Conference on Advanced Learning Technologies,Conferência Internacional IEEE sobre Tecnologias Avançadas de Aprendizagem,A3
ICANN,International Conference on Artificial Neural Networks,Conferência Internacional sobre Redes Neurais Artificiais,A2
ICAPS,International Conference on Automated Planning and Scheduling,Conferência Internacional sobre Planejamento e Agendamento Automatizado,A1
ICAR,International Conference on Advanced Robotics,Conferência Internacional sobre Robótica Avançada,A3
ICARCV,"International Conference on Control, Automation, Robotics and Vision","Conferência Internacional sobre Controle, Automação, Robótica e Visão",B1
ICASSP,"IEEE International Conference on Acoustics, Speech and Signal Processing","Conferência Internacional IEEE sobre Acústica, Fala e Processamento de Sinais",A1
ICB,International Conference on Biometrics,Conferência Internacional sobre Biometria,A2
ICBC,IEEE International Conference on Blockchain and Cryptocurrency,Conferência Internacional IEEE sobre Blockchain e Criptomoeda,A1
ICC,International Conference on Communications,Conferência Internacional sobre Comunicações,A1
ICC-E,International Conference on Communications Companion,Conferência Internacional sobre Comunicações (Complementar),A3
ICCABS,International Conference on Computational Advances in Bio and Medical Sciences,Conferência Internacional sobre Avanços Computacionais em Ciências Bio e Médicas,B1
ICCAR,"International Conference on Control, Automation and Robotics","Conferência Internacional sobre Controle, Automação e Robótica",A3
ICCCN,International Conference on Computer Communications and Networks,Conferência Internacional sobre Comunicações e Redes de Computadores,A2
ICCD,International Conference on Computer Design,Conferência Internacional sobre Design de Computadores,A3
ICCE-EDU,International Conference on Computers in Education,Conferência Internacional sobre Computadores na Educação,B1
ICCHP,International Conference on Computers Helping People with Special Needs,Conferência Internacional sobre Computadores Ajudando Pessoas com Necessidades Especiais,B1
ICCL2,International Conference on Computational Logistics,Conferência Internacional sobre Logística Computacional,B2
ICCP,IEEE International Conference on Intelligent Computer Communication and Processing,Conferência Internacional IEEE sobre Comunicação e Processamento Inteligente de Computadores,B1
ICCS,International Conference on Computational Science,Conferência Internacional sobre Ciência Computacional,B4
ICCSA,International Conference on Computational Science and Its Applications,Conferência Internacional sobre Ciência Computacional e suas Aplicações,A2
ICCV,IEEE International Conference on Computer Vision,Conferência Internacional IEEE sobre Visão Computacional,A1
ICCV-E,IEEE International Conference on Computer Vision Companion,Conferência Internacional IEEE sobre Visão Computacional (Complementar),A3
ICDAR,International Conference on Document Analysis and Recognition,Conferência Internacional sobre Análise e Reconhecimento de Documentos,A1
ICDCS,International Conference on Distributed Computing Systems,Conferência Internacional sobre Sistemas de Computação Distribuída,A1
ICDE,IEEE International Conference on Data Engineering,Conferência Internacional IEEE sobre Engenharia de Dados,A1
ICDIP,International Conference on Digital Image Processing,Conferência Internacional sobre Processamento Digital de Imagens,B2
ICDM,IEEE International Conference on Data Mining,Conferência Internacional IEEE sobre Mineração de Dados,A1
ICEC,IFIP International Conference on Entertainment Computing,Conferência Internacional IFIP sobre Computação de Entretenimento,A4
ICECS,"IEEE International Conference on Electronics, Circuits and Systems","Conferência Internacional IEEE sobre Eletrônica, Circuitos e Sistemas",A3
ICEGOV,International Conference on Theory and Practice of Eletronic Governance,Conferência Internacional sobre Teoria e Prática da Governança Eletrônica,A4
ICEIS,International Conference on Enterprise Information Systems,Conferência Internacional sobre Sistemas de Informação Empresarial,A3
ICFCA,International Conference on Formal Concept Analysis,Conferência Internacional sobre Análise Formal de Conceitos,B4
ICFEM,International Conference on Formal Engineering Methods,Conferência Internacional sobre Métodos de Engenharia Formal,A4
ICGI,International Conference on Grammatical Inference,Conferência Internacional sobre Inferência Gramatical,B3
ICGJ,"International Conference on Game Jams, Hackathons, and Game Creation Events","Conferência Internacional sobre Game Jams, Hackathons e Eventos de Criação de Jogos",B2
ICHI,IEEE International Conference on Healthcare Informatics,Conferência Internacional IEEE sobre Informática em Saúde,A3
ICIAP,International Conference on Image Analysis and Processing,Conferência Internacional sobre Análise e Processamento de Imagens,A3
ICIAR,International Conference on Image Analysis and Recognition,Conferência Internacional sobre Análise e Reconhecimento de Imagens,A4
ICICS,International Conference on Information and Communications Security,Conferência Internacional sobre Segurança de Informações e Comunicações,A4
ICINCO,"International Conference on Informatics in Control, Automation and Robotics","Conferência Internacional sobre Informática em Controle, Automação e Robótica",B1
ICIOT,International Conference on the Internet of Things,Conferência Internacional sobre a Internet das Coisas,B1
ICIP,IEEE International Conference on Image Processing,Conferência Internacional IEEE sobre Processamento de Imagens,A1
ICISS,International Conference on Information Systems Security,Conferência Internacional sobre Segurança de Sistemas de Informação,B4
ICIT,IEEE International Conference on Industrial Technology,Conferência Internacional IEEE sobre Tecnologia Industrial,A2
ICIT&S,International Conference on Information Technology & Systems,Conferência Internacional sobre Tecnologia e Sistemas de Informação,A4
ICITE,International Conference on Information Technology and Education,Conferência Internacional sobre Tecnologia da Informação e Educação,A4
ICITS,International Conference on Information Theoretic Security,Conferência Internacional sobre Segurança Teórica da Informação,B4
ICIVC,"International Conference on Image, Vision and Computing","Conferência Internacional sobre Imagem, Visão e Computação",A4
ICKG,IEEE International Conference on Knowledge Graph,Conferência Internacional IEEE sobre Grafos de Conhecimento,B2
ICL,International Conference on Interactive Collaborative Learning,Conferência Internacional sobre Aprendizagem Colaborativa Interativa,A4
ICLR,International Conference on Learning Representations,Conferência Internacional sobre Representações de Aprendizagem,A1
ICMC,International Computer Music Conference,Conferência Internacional de Música Computacional,B2
ICME-E,IEEE International Conference on Multimedia and Expo Companion,Conferência Internacional IEEE sobre Multimídia e Exposição (Complementar),A3
ICML,International Conference on Machine Learning,Conferência Internacional sobre Aprendizado de Máquina,A1
ICMLA,IEEE International Conference on Machine Learning and Applications,Conferência Internacional IEEE sobre Aprendizado de Máquina e Aplicações,A1
ICMLC,International Conference on Machine Learning and Computing,Conferência Internacional sobre Aprendizado de Máquina e Computação,A4
ICMR,ACM International Conference on Multimedia Retrieval,Conferência Internacional ACM sobre Recuperação Multimídia,A2
ICNC,"International Conference on Computing, Networking and Communications","Conferência Internacional sobre Computação, Redes e Comunicações",A2
ICNSC,"IEEE International Conference on Networking, Sensing and Control","Conferência Internacional IEEE sobre Redes, Sensores e Controle",A4
ICOIN,International Conference on Information Networking,Conferência Internacional sobre Redes de Informação,A3
ICOMP,International Conference on Internet Computing and Internet of Things,Conferência Internacional sobre Computação na Internet e Internet das Coisas,B4
ICONIP,International Conference on Neural Information Processing,Conferência Internacional sobre Processamento de Informação Neural,A2
ICPADS,International Conference on Parallel and Distributed Systems,Conferência Internacional sobre Sistemas Paralelos e Distribuídos,A3
ICPC,International Conference on Program Comprehension,Conferência Internacional sobre Compreensão de Programas,A2
ICPE,International Conference on Performance Engineering,Conferência Internacional sobre Engenharia de Desempenho,A3
ICPP,International Conference on Parallel Processing,Conferência Internacional sobre Processamento Paralelo,A3
ICPR,International Conference on Pattern Recognition,Conferência Internacional sobre Reconhecimento de Padrões,A1
ICPRAM,International Conference on Pattern Recognition Applications and Methods,Conferência Internacional sobre Aplicações e Métodos de Reconhecimento de Padrões,B3
ICRA,IEEE International Conference on Robotics and Automation,Conferência Internacional IEEE sobre Robótica e Automação,A1
ICRAE,International Conference on Robotics and Automation Engineering,Conferência Internacional sobre Engenharia de Robótica e Automação,B3
ICS,International Conference on Supercomputing,Conferência Internacional sobre Supercomputação,A2
ICSA,International Conference on Software Architecture,Conferência Internacional sobre Arquitetura de Software,A2
ICSC,International Conference on Semantic Computing,Conferência Internacional sobre Computação Semântica,A3
ICSE,International Conference on Software Engineering,Conferência Internacional sobre Engenharia de Software,A1
ICSE-E,International Conference on Software Engineering Companion,Conferência Internacional sobre Engenharia de Software (Complementar),A3
ICSE-NIER,ACM International Conference on Software Engineering: New Ideas and Emerging Results,Conferência Internacional ACM sobre Engenharia de Software: Novas Ideias e Resultados Emergentes,A3
ICSE-SEET,ACM International Conference on Software Engineering: Software Engineering Education and Training,Conferência Internacional ACM sobre Engenharia de Software: Educação e Treinamento em Engenharia de Software,B1
ICSE-SEIP,ACM International Conference on Software Engineering: Software Engineering in Practice,Conferência Internacional ACM sobre Engenharia de Software: Engenharia de Software na Prática,A1
ICSE-SEIS,International Conference on Software Engineering: Software Engineering in Society,Conferência Internacional sobre Engenharia de Software: Engenharia de Software na Sociedade,B1
ICSESS,International Conference on Software Engineering and Service Science,Conferência Internacional sobre Engenharia de Software e Ciência de Serviços,A4
ICSI,International Conference on Swarm Intelligence,Conferência Internacional sobre Inteligência de Enxame,B1
ICSME,IEEE International Conference on Software Maintenance and Evolution,Conferência Internacional IEEE sobre Manutenção e Evolução de Software,A2
ICSOB,International Conference on Software Business,Conferência Internacional sobre Negócios de Software,B1
ICSOFT,International Conference on Software Technologies,Conferência Internacional sobre Tecnologias de Software,B1
ICSSP,International Conference on Software and Systems Process,Conferência Internacional sobre Processo de Software e Sistemas,B3
ICSTV,"IEEE International Conference on Software Testing, Verification and Validation","Conferência Internacional IEEE sobre Testes, Verificação e Validação de Software",A2
ICT,International Conference on Telecommunications,Conferência Internacional sobre Telecomunicações,A4
ICTAC,International Colloquium on Theoretical Aspects of Computing,Colóquio Internacional sobre Aspectos Teóricos da Computação,B1
ICTAI,IEEE International Conference on Tools with Artificial Intelligence,Conferência Internacional IEEE sobre Ferramentas com Inteligência Artificial,A2
ICTD,International Conference on Information & Communication Technologies and Development,Conferência Internacional sobre Tecnologias de Informação e Comunicação e Desenvolvimento,A3
ICTIR,Conference on the Theory of Information Retrieval,Conferência sobre a Teoria de Recuperação de Informação,A3
ICTON,International Conference on Transparent Optical Networks,Conferência Internacional sobre Redes Ópticas Transparentes,A4
ICTSS,IFIP International Conference on Testing Software and Systems,Conferência Internacional IFIP sobre Testes de Software e Sistemas,A3
ICUAS,International Conference on Unmanned Aircraft Systems,Conferência Internacional sobre Sistemas de Aeronaves Não Tripuladas,A2
ICUMT,International Conference on Ultra Modern Telecommunications,Conferência Internacional sobre Telecomunicações Ultra Modernas,A4
ICWN,International Conference on Wireless Networks,Conferência Internacional sobre Redes Sem Fio,A4
ICWSM,International AAAI Conference on Web and Social Media,Conferência Internacional AAAI sobre Web e Mídia Social,A1
IDA,International Symposium on Intelligent Data Analysis,Simpósio Internacional sobre Análise Inteligente de Dados,B1
IDEAL,International Conference on Intelligent Data Engineering and Automated Learning,Conferência Internacional sobre Engenharia de Dados Inteligente e Aprendizado Automatizado,B1
IDEAS,International Database Engineering and Applications Symposium,Simpósio Internacional de Engenharia e Aplicações de Banco de Dados,A3
IECON,Annual Conference of the IEEE Industrial Electronics Society,Conferência Anual da Sociedade de Eletrônica Industrial IEEE,A2
IEEE IST,IEEE International Conference on Imaging Systems and Techniques,Conferência Internacional IEEE sobre Sistemas e Técnicas de Imagem,A4
IEEECloudS,IEEE Cloud Summit,Cúpula de Nuvem IEEE,B2
IEEENANO,IEEE Conference on Nanotechnology,Conferência IEEE sobre Nanotecnologia,B1
IEEESCC,IEEE International Conference on Services Computing,Conferência Internacional IEEE sobre Computação de Serviços,A4
IESS,IFIP International Embedded Systems Symposium,Simpósio Internacional IFIP de Sistemas Embarcados,B4
IFAC,World Congress of the International Federation of Automatic Control,Congresso Mundial da Federação Internacional de Controle Automático,A1
IFSA,World Congress of International Fuzzy Systems Association,Congresso Mundial da Associação Internacional de Sistemas Fuzzy,B3
IGARSS,IEEE International Geoscience and Remote Sensing Symposium,Simpósio Internacional IEEE de Geociência e Sensoriamento Remoto,A1
IHC,Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais,Brazilian Symposium on Human Factors in Computing Systems,A3
IISA,"International Conference on Information, Intelligence, Systems and Applications","Conferência Internacional sobre Informação, Inteligência, Sistemas e Aplicações",A3
IISWC,IEEE International Symposium on Workload Characterization,Simpósio Internacional IEEE sobre Caracterização de Carga de Trabalho,A3
IIWAS,International Conference on Information Integration and Web-based Applications & Services,Conferência Internacional sobre Integração de Informação e Aplicações e Serviços Baseados na Web,A3
IJCAI,International Joint Conference on Artificial Intelligence,Conferência Internacional Conjunta sobre Inteligência Artificial,A1
IJCAR,International Joint Conference on Automated Reasoning,Conferência Internacional Conjunta sobre Raciocínio Automatizado,A4
IJCNLP,International Joint Conference on Natural Language Processing,Conferência Internacional Conjunta sobre Processamento de Linguagem Natural,A2
IJCNN,IEEE International Joint Conference on Neural Networks,Conferência Internacional Conjunta IEEE sobre Redes Neurais,A1
ILP,International Conference on Inductive Logic Programming,Conferência Internacional sobre Programação Lógica Indutiva,B3
IM,IFIP/IEEE International Symposium on Integrated Network Management,Simpósio Internacional IFIP/IEEE sobre Gestão Integrada de Redes,A2
IMBSA,International Symposium on Model-Based Safety and Assessment,Simpósio Internacional sobre Segurança e Avaliação Baseada em Modelos,B2
IMC,ACM Internet Measurement Conference,Conferência de Medição de Internet ACM,A1
IMOC,SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference,Conferência Internacional de Micro-ondas e Optoeletrônica SBMO/IEEE MTT-S,B3
INDIN,IEEE International Conference on Industrial Informatics,Conferência Internacional IEEE sobre Informática Industrial,A3
INDUSCON,International Conference on Industry Applications,Conferência Internacional sobre Aplicações Industriais,B2
INFOCOM,IEEE International Conference on Computer Communications,Conferência Internacional IEEE sobre Comunicações de Computadores,A1
INFOCOM-E,IEEE International Conference on Computer Communications Companion,Conferência Internacional IEEE sobre Comunicações de Computadores (Complementar),A3
INLG,International Natural Language Generation conference,Conferência Internacional de Geração de Linguagem Natural,A2
INOC,International Network Optimization Conference,Conferência Internacional de Otimização de Redes,B3
INSCIT,"International Symposium on Instrumentation Systems, Circuits and Transducers","Simpósio Internacional sobre Sistemas de Instrumentação, Circuitos e Transdutores",B4
INTELLISYS,SAI Intelligent Systems Conference,Conferência de Sistemas Inteligentes SAI,A3
INTERACT,IFIP TC 13 International Conference on Human-Computer Interaction,Conferência Internacional IFIP TC 13 sobre Interação Humano-Computador,A3
INTERSPEECH,Conference of the International Speech Communication Association,Conferência da Associação Internacional de Comunicação por Fala,A1
IOLTS,IEEE International On-Line Testing Symposium,Simpósio Internacional IEEE de Testes On-Line,A4
IoTBDS,International Conference on Internet of Things and Big Data and Security,"Conferência Internacional sobre Internet das Coisas, Big Data e Segurança",B1
IPAW,International Provenance and Annotation Workshop,Workshop Internacional de Proveniência e Anotação,B3
IPCO,Conference on Integer Programming and Combinatorial Optimization,Conferência sobre Programação Inteira e Otimização Combinatória,A3
IPDPS,IEEE International Parallel & Distributed Processing Symposium,Simpósio Internacional IEEE de Processamento Paralelo e Distribuído,A1
IPDPS-E,IEEE International Parallel & Distributed Processing Symposium Companion,Simpósio Internacional IEEE de Processamento Paralelo e Distribuído (Complementar),A3
IPEC,International Symposium on Parameterized and Exact Computation,Simpósio Internacional sobre Computação Parametrizada e Exata,A3
IPMU,International Conference on Information Processing and Management of Uncertainty,Conferência Internacional sobre Processamento de Informação e Gestão de Incerteza,B1
IPTA,International Conference on Image Processing Theory Tools and Applications,"Conferência Internacional sobre Teoria, Ferramentas e Aplicações de Processamento de Imagem",A4
IRC,IEEE International Conference on Robotic Computing,Conferência Internacional IEEE sobre Computação Robótica,A3
IROS,IEEE/RSJ International Conference on Intelligent Robots and Systems,Conferência Internacional IEEE/RSJ sobre Robôs e Sistemas Inteligentes,A1
ISAAC,International Symposium on Algorithms and Computation,Simpósio Internacional sobre Algoritmos e Computação,A3
ISADS,International Symposium on Autonomous Decentralized Systems,Simpósio Internacional sobre Sistemas Descentralizados Autônomos,A4
ISBI,IEEE International Symposium on Biomedical Imaging,Simpósio Internacional IEEE de Imagem Biomédica,A1
ISBRA,International Symposium on Bioinformatics Research and Applications,Simpósio Internacional sobre Pesquisa e Aplicações em Bioinformática,B2
ISC,International Conference on Information Security,Conferência Internacional sobre Segurança da Informação,B1
ISC2,IEEE International Smart Cities Conference,Conferência Internacional IEEE de Cidades Inteligentes,A3
ISCAS,IEEE International Symposium on Circuits and Systems,Simpósio Internacional IEEE de Circuitos e Sistemas,A1
ISCC,International Symposium on Computers and Communications,Simpósio Internacional sobre Computadores e Comunicações,A2
ISCO,International Symposium on Combinatorial Optimization,Simpósio Internacional sobre Otimização Combinatória,B3
ISCRAM,International Conference on Information Systems for Crisis Response and Management,Conferência Internacional sobre Sistemas de Informação para Resposta e Gestão de Crises,A4
ISE,Workshop Brasileiro de Engenharia de Software Inteligente,Brazilian Workshop on Intelligent Software Engineering,B4
ISGT,IEEE PES Innovative Smart Grid Technologies,Tecnologias Inovadoras de Redes Inteligentes IEEE PES,A2
ISGT-Europe,IEEE PES Innovative Smart Grid Technologies Conference Europe,Conferência de Tecnologias Inovadoras de Redes Inteligentes IEEE PES Europa,A3
ISGT-LA,IEEE PES Innovative Smart Grid Technologies Conference Latin America,Conferência de Tecnologias Inovadoras de Redes Inteligentes IEEE PES América Latina,A4
ISIE,IEEE International Symposium on Industrial Electronics,Simpósio Internacional IEEE de Eletrônica Industrial,A3
ISIPTA,International Symposium on Imprecise Probabilities: Theories and Applications,Simpósio Internacional sobre Probabilidades Imprecisas: Teorias e Aplicações,B4
ISLA,Information Systems in Latin America,Sistemas de Informação na América Latina,B4
ISM,IEEE International Symposium on Multimedia,Simpósio Internacional IEEE de Multimídia,A3
ISMAR,IEEE International Symposium on Mixed and Augmented Reality,Simpósio Internacional IEEE de Realidade Mista e Aumentada,A1
ISMIR,International Society for Music Information Retrieval Conference,Conferência da Sociedade Internacional de Recuperação de Informação Musical,A1
ISMSI,"International Conference on Intelligent Systems, Metaheuristics & Swarm Intelligence","Conferência Internacional sobre Sistemas Inteligentes, Metaheurísticas e Inteligência de Enxame",B2
ISMVL,IEEE International Symposium on Multiple-Valued Logic,Simpósio Internacional IEEE de Lógica de Múltiplos Valores,B1
ISNN,International Symposium on Neural Networks,Simpósio Internacional sobre Redes Neurais,B1
ISORC,IEEE International Symposium on RealTime Distributed Computing,Simpósio Internacional IEEE de Computação Distribuída em Tempo Real,A4
ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,Simpósio Internacional IEEE de Análise de Desempenho de Sistemas e Software,A3
ISPDC,International Symposium on Parallel and Distributed Computing,Simpósio Internacional sobre Computação Paralela e Distribuída,B1
ISPRS,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences","Anais da ISPRS de Fotogrametria, Sensoriamento Remoto e Ciências da Informação Espacial",A2
ISQED,International Symposium on Quality Electronic Design,Simpósio Internacional sobre Design Eletrônico de Qualidade,A3
ISSI,International Society of Scientometrics and Informetrics Conference,Conferência da Sociedade Internacional de Cientometria e Informetria,A4
ISSRE,IEEE International Symposium on Software Reliability Engineering,Simpósio Internacional IEEE de Engenharia de Confiabilidade de Software,A2
ISSRE-E,IEEE International Symposium on Software Reliability Engineering Companion,Simpósio Internacional IEEE de Engenharia de Confiabilidade de Software (Complementar),B1
ISSTA,International Symposium on Software Testing and Analysis,Simpósio Internacional sobre Testes e Análise de Software,A1
ISTAR,International iWorkshop,Workshop Internacional i,B4
ISVC,International Symposium on Visual Computing,Simpósio Internacional sobre Computação Visual,A4
ISVLSI,IEEE Computer Society Annual Symposium on VLSI,Simpósio Anual da Sociedade de Computação IEEE sobre VLSI,A3
ISWCS,International Symposium on Wireless Communication Systems,Simpósio Internacional sobre Sistemas de Comunicação Sem Fio,A3
ITC,International Test Conference,Conferência Internacional de Testes,A4
ITHET,International Conference on Information Technology Based Higher Education and Training,Conferência Internacional sobre Educação e Treinamento Superior Baseado em Tecnologia da Informação,B2
ITICSE,Joint Conference on Innovation and Technology in Computer Science Education,Conferência Conjunta sobre Inovação e Tecnologia na Educação em Ciência da Computação,A1
ITNG,International Conference on Information Technology : New Generations,Conferência Internacional sobre Tecnologia da Informação: Novas Gerações,A4
ITP,International Conference on Interactive Theorem Proving,Conferência Internacional sobre Prova Interativa de Teoremas,A3
ITS,International Conference on Augmented Intelligence and Intelligent Tutoring Systems,Conferência Internacional sobre Inteligência Aumentada e Sistemas de Tutoria Inteligente,A3
ITSC,IEEE International Conference on Intelligent Transportation Systems,Conferência Internacional IEEE sobre Sistemas de Transporte Inteligentes,A1
IUI,International Conference on Intelligent User Interfaces,Conferência Internacional sobre Interfaces Inteligentes de Usuário,A1
IV,International Conference on Information Visualization,Conferência Internacional sobre Visualização de Informações,A4
IVAPP,International Conference on Information Visualization Theory and Applications,Conferência Internacional sobre Teoria e Aplicações de Visualização de Informações,A4
IVS,IEEE Intelligent Vehicles Symposium,Simpósio IEEE de Veículos Inteligentes,A1
IWANN,International Work-Conference on Artificial Neural Networks,Conferência de Trabalho Internacional sobre Redes Neurais Artificiais,A4
IWBBIO,International Work-Conference on Bioinformatics and Biomedical Engineering,Conferência de Trabalho Internacional sobre Bioinformática e Engenharia Biomédica,A4
IWCMC,International Wireless Communications and Mobile Computing Conference,Conferência Internacional de Comunicações Sem Fio e Computação Móvel,A1
IWOCA,International Workshop on Combinatorial Algorithms,Workshop Internacional sobre Algoritmos Combinatórios,B2
IWSECO,International Workshop on Software Ecosystems,Workshop Internacional sobre Ecossistemas de Software,B3
IWSSIP,"International Conference on Systems, Signals and Image Processing","Conferência Internacional sobre Sistemas, Sinais e Processamento de Imagem",A3
jAUTI,Iberoamerican Conference on Applications and Usability of Interactive TV,Conferência Ibero-americana sobre Aplicações e Usabilidade de TV Interativa,B4
JCDL,ACM/IEEE Joint Conference on Digital Libraries,Conferência Conjunta ACM/IEEE sobre Bibliotecas Digitais,A3
JSSPP,Workshop on Job Scheduling Strategies for Parallel Processing,Workshop sobre Estratégias de Agendamento de Tarefas para Processamento Paralelo,B2
JURIX,International Conference on Legal Knowledge and Information Systems,Conferência Internacional sobre Conhecimento Jurídico e Sistemas de Informação,A4
KDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,Conferência ACM SIGKDD sobre Descoberta de Conhecimento e Mineração de Dados,A1
KDMILE,"Symposium on Knowledge Discovery, Mining and Learning","Simpósio sobre Descoberta de Conhecimento, Mineração e Aprendizado",B2
KEPS,Workshop on Knowledge Engineering for Planning and Scheduling,Workshop sobre Engenharia de Conhecimento para Planejamento e Agendamento,B4
KR,International Conference on Principles of Knowledge Representation and Reasoning,Conferência Internacional sobre Princípios de Representação e Raciocínio de Conhecimento,A3
L@S,ACM Conference on Learning @ Scale,Conferência ACM sobre Aprendizado em Escala,A3
LA-CCI,Latin American Conference on Computational Intelligence,Conferência Latino-Americana sobre Inteligência Computacional,B2
LACLO,Latin American Conference on Learning Technologies,Conferência Latino-Americana sobre Tecnologias de Aprendizagem,B1
LADC,Latin-American Symposium on Dependable and Secure Computing,Simpósio Latino-Americano sobre Computação Confiável e Segura,A4
LAGOS,"Latin-American Algorithms, Graphs and Optimization Symposium","Simpósio Latino-Americano de Algoritmos, Grafos e Otimização",B4
LAK,International Learning Analytics and Knowledge Conference,Conferência Internacional sobre Análise de Aprendizado e Conhecimento,A1
LANC,Latin American Networking Conference,Conferência Latino-Americana de Redes,A3
LARS,IEEE Latin American Robotics Symposium,Simpósio Latino-Americano de Robótica IEEE,A4
LASCAS,IEEE Latin American Symposium on Circuits and Systems,Simpósio Latino-Americano de Circuitos e Sistemas IEEE,A3
LATIN,Latin American Theoretical Informatics Symposium,Simpósio Latino-Americano de Informática Teórica,A3
LATINCOM,IEEE Latin-American Conference on Communications,Conferência Latino-Americana de Comunicações IEEE,B1
LATINCRYPT,International Conference on Cryptology and Information Security in Latin America,Conferência Internacional sobre Criptologia e Segurança da Informação na América Latina,A4
LATINOWARE,Congresso Latino-americano de Software Livre e Tecnologias Abertas,Latin American Congress on Free Software and Open Technologies,B4
LATS,IEEE Latin American Test Symposium,Simpósio Latino-Americano de Testes IEEE,B1
LAW,Linguistic Annotation Workshop,Workshop de Anotação Linguística,B2
LCN,IEEE Conference on Local Computer Networks,Conferência IEEE sobre Redes Locais de Computadores,A3
LIDTA,Workshop on Learning with Imbalanced Domains: Theory and Applications,Workshop sobre Aprendizado com Domínios Desbalanceados: Teoria e Aplicações,B3
LREC,International Conference on Language Resources and Evaluation,Conferência Internacional sobre Recursos e Avaliação de Linguagem,A1
MABS,International Workshop on Multi-Agent Based Simulation,Workshop Internacional sobre Simulação Baseada em Multiagentes,B3
MASCOTS,"International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems","Simpósio Internacional sobre Modelagem, Análise e Simulação de Sistemas de Computação e Telecomunicações",A4
